,Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist],team_name
42,9/7/2021,at Centenary (NJ),W,5-0,"(2-0-0, 0-0-0)",0-0-0,175,Francois D'Elia (1) (Chris Richards)  Chris Richards (1) (Noam Davidov)  Andrew Gaines (1) (Noah Pietila)  Phillip Bell (1) (Francois D'Elia)  Luke Feeney (1) (Jason Edelstein),msoc
43,9/11/2021,vs Messiah,T,1-1,(2-0-1),,300,Brandin Osborne (1) (Zack Mikuta),msoc
44,9/14/2021,vs DeSales,W,1-0,(3-0-1),,105,"Stephen Carton (1) (Francois D'Elia , Evan Schlotterbeck)",msoc
45,9/18/2021,at McDaniel,W,1-0,"(4-0-1, 1-0)",1-0,0,Chris Richards (0),msoc
46,9/22/2021,at Misericordia,L,1-2,(4-1-1),,40,Chris Richards (3) (Brandin Osborne),msoc
47,9/25/2021,vs Washington College,L,0-1,"(4-2-1, 1-1)",1-1,200,,msoc
48,9/29/2021,vs Franklin & Marshall,L,3-4,"(4-3-1, 1-2-0)",1-2-0,143,"TEAM (0) Tarin Morris (1) (Brendan Duffy , Noam Davidov)  Taylan Akdag (1)",msoc
49,10/2/2021,at Haverford,L,0-1,"(4-4-1, 1-3 CC)",1-3 CC,100,,msoc
50,10/5/2021,vs Moravian,W,3-0,(5-4-1),,122,Stephen Carton (0) (Tarin Morris)  Chris Richards (0) Chris Richards (0) (Tarin Morris),msoc
51,10/9/2021,at Swarthmore,L,0-3,"(5-5-1, 1-4(CC))",1-4(CC),100,,msoc
52,10/12/2021,vs Elizabethtown,W,1-0,(6-5-1),,101,Taylan Akdag (0),msoc
53,10/16/2021,vs Dickinson,T,2-2,"(6-5-2, 1-4-1)",1-4-1,56,Taylan Akdag (3) Taylan Akdag (4) (Phillip Bell),msoc
54,10/20/2021,vs Ursinus,L,1-2,"(6-6-2, 1-5-1)",1-5-1,102,Taylan Akdag (0),msoc
55,10/23/2021,at Johns Hopkins,L,0-2,"(6-7-2, 1-6-1)",1-6-1,302,,msoc
56,10/30/2021,vs Gettysburg,W,2-1,"(7-7-2, 2-6-1)",2-6-1,201,Noah Pietila (1) (Brandin Osborne)  Kevin Adams (1) (Tarin Morris),msoc
57,11/13/2021,at Alvernia,W,3-2,(8-7-2),,100,Chris Richards (0) (Taylan Akdag)  Taylan Akdag (0) Noam Davidov (0) (Brandin Osborne),msoc
58,11/14/2021,at Rutgers-Camden,W,2-0,(9-7-2),,0,"Chris Richards (7) (Taylan Akdag)  Kevin Adams (2) (Tarin Morris , Taylan Akdag)",msoc
59,11/20/2021,at Rutgers-Newark,W,3-1,(10-7-2),,250,"Tarin Morris (2) (Taylan Akdag , Chris Richards)  Chris Richards (6) (Tarin Morris , Taylan Akdag)  Taylan Akdag (6) (Tarin Morris)",msoc
60,8/30/2019,at Susquehanna,W,4-1,(1-0-0),,303,"Erich Buerkert (1) Chris Richards (1) Chris Richards (2) (Erich Buerkert , Stephen Carton)  Kevin Hagan (1)",msoc
61,9/4/2019,vs Immaculata,W,2-0,(2-0-0),,0,Kevin Hagan (2) (Stephen Carton)  Chris Richards (3),msoc
62,9/7/2019,at Messiah,T,1-1,(2-0-1),,2357,Kevin Hagan (3) (Zach Cimring),msoc
63,9/11/2019,at Drew,W,1-0,(3-0-1),,165,Chris Richards (4),msoc
64,9/14/2019,vs Centenary (N.J.),W,10-0,(4-0-1),,110,Kevin Hagan (4) (Taylan Akdag)  Taylan Akdag (1) (Kevin Hagan)  Chris Richards (5) Mark Winter (1) (Chris Richards)  Cameron Miller (1) (Chris Richards)  Chris Richards (6) Stephen Carton (1) (Chris Richards)  Matt Athanas-Linden (1) (Greyson King)  Drew McDonald (1) (Noam Davidov)  Noam Davidov (1) (Drew McDonald),msoc
65,09/18/2019,at DeSales,W,4-3,"(5-0-1, 0-0-0)",0-0-0,0,Kevin Hagan (1) (Stephen Carton)  Zach Cimring (1) (Kevin Hagan)  Stephen Carton (1) Chris Richards (0),msoc
66,9/21/2019,at Franklin & Marshall,L,1-2,"(5-1-1, 0-1-0)",0-1-0,417,Stephen Carton (0) (Jordan Cimring),msoc
67,9/25/2019,vs Misericordia,W,4-1,(6-1-1),,136,"Phillip Bell (1) (Chris Richards , Taylan Akdag)  Stephen Carton (4) Noam Davidov (2) (Chris Richards)  Noam Davidov (3)",msoc
68,9/28/2019,vs Swarthmore,T,2-2,(6-1-2 (0-1-1 CC)),,221,Matt Athanas-Linden (2) Gnim Bazim (1) (Chris Richards),msoc
69,10/2/2019,vs Haverford,L,2-3,"(6-2-2, 0-2-1)",0-2-1,117,"Victor Jacobs (1) (Noam Davidov)  Stephen Carton (5) (Taylan Akdag , Brandin Osborne)",msoc
70,10/5/2019,at Johns Hopkins,L,0-1,"(6-3-2, 0-3-1)",0-3-1,0,,msoc
71,10/9/2019,at Moravian,W,1-0,(7-3-2),,242,Kevin Hagan (6) (Jordan Cimring),msoc
72,10/12/2019,vs Gettysburg,L,1-2,"(7-4-2, 0-4-1)",0-4-1,189,Taylan Akdag (2) (Jordan Cimring),msoc
