,Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT.1,FTM/A,PCT.2,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG.1,team_name
140,at Moravian,11/15/17,74-95,L,25-56,0.446,8-28,0.286,16-25,0.64,5,35,40,40.0,20,15,20,6,6,74,74.0,mbball
141,vs SUNY New Paltz,11/17/17,98-88,W,32-68,0.471,15-37,0.405,19-24,0.792,15,25,40,40.0,20,24,12,1,5,98,86.0,mbball
142,vs Misericordia,11/18/17,99-104,L,35-73,0.479,13-33,0.394,16-22,0.727,7,30,37,39.0,25,15,11,1,9,99,90.3,mbball
143,vs Dickinson,11/21/17,68-89,L,23-58,0.397,7-24,0.292,15-21,0.714,9,22,31,37.0,14,10,20,2,9,68,84.8,mbball
144,vs King's,11/28/17,72-74,L,27-65,0.415,12-33,0.364,6-11,0.545,10,33,43,38.2,20,20,20,3,5,72,82.2,mbball
145,at Swarthmore,11/30/17,69-81,L,23-62,0.371,13-37,0.351,10-12,0.833,6,19,25,36.0,19,14,11,3,6,69,80.0,mbball
146,at Johns Hopkins,12/02/17,55-66,L,19-58,0.328,3-19,0.158,14-17,0.824,9,28,37,36.1,18,9,11,2,4,55,76.4,mbball
147,vs Haverford,12/06/17,88-79,W,29-57,0.509,10-24,0.417,20-28,0.714,12,18,30,35.4,13,19,13,2,8,88,77.9,mbball
148,at DeSales,12/09/17,67-71,L,25-58,0.431,10-29,0.345,7-11,0.636,8,20,28,34.6,15,12,13,3,7,67,76.7,mbball
149,at WestConn,01/03/18,81-69,W,30-71,0.423,12-39,0.308,9-9,1.0,12,34,46,35.7,11,18,10,1,6,81,77.1,mbball
150,vs Washington College,01/06/18,68-62,W,24-64,0.375,5-19,0.263,15-22,0.682,12,27,39,36.0,22,13,12,2,7,68,76.3,mbball
151,vs Franklin & Marshall,01/09/18,82-80,W,27-52,0.519,9-21,0.429,19-25,0.76,2,26,28,35.3,18,18,15,1,8,82,76.8,mbball
152,vs Gettysburg,01/11/18,74-67,W,26-61,0.426,9-30,0.3,13-20,0.65,7,23,30,34.9,15,13,7,2,6,74,76.5,mbball
153,vs McDaniel,01/14/18,65-55,W,21-50,0.42,6-23,0.261,17-24,0.708,7,22,29,34.5,16,8,11,1,8,65,75.7,mbball
154,at Ursinus,01/17/18,61-75,L,24-63,0.381,3-15,0.2,10-22,0.455,9,24,33,34.4,15,9,14,2,8,61,74.7,mbball
155,vs Johns Hopkins,01/20/18,63-85,L,25-61,0.41,8-23,0.348,5-9,0.556,8,18,26,33.9,10,12,17,1,8,63,74.0,mbball
156,at Lancaster Bible,01/22/18,67-72,L,21-60,0.35,10-27,0.37,15-20,0.75,8,31,39,34.2,20,10,20,2,6,67,73.6,mbball
157,at Dickinson,01/25/18,61-64,L,20-55,0.364,7-20,0.35,14-19,0.737,9,24,33,34.1,11,7,7,1,6,61,72.9,mbball
158,at Washington College,01/27/18,88-82,W,28-54,0.519,10-28,0.357,22-26,0.846,6,26,32,34.0,19,18,14,2,6,88,73.7,mbball
159,vs Swarthmore,01/31/18,91-88,W (OT),32-64,0.5,11-28,0.393,16-19,0.842,6,26,32,33.9,18,20,11,2,6,91,74.6,mbball
160,at Franklin & Marshall,02/03/18,70-77,L,24-62,0.387,6-22,0.273,16-18,0.889,11,29,40,34.2,22,10,16,4,6,70,74.3,mbball
161,at Haverford,02/07/18,88-85,W,32-74,0.432,11-31,0.355,13-17,0.765,12,26,38,34.4,14,16,9,5,9,88,75.0,mbball
162,at Gettysburg,02/10/18,72-59,W,23-57,0.404,14-36,0.389,12-18,0.667,8,30,38,34.5,16,17,12,2,7,72,74.8,mbball
163,vs Ursinus,02/14/18,85-100,L,34-70,0.486,5-12,0.417,12-18,0.667,8,18,26,34.2,16,12,10,1,7,85,75.3,mbball
164,at McDaniel,02/17/18,72-75,L,25-60,0.417,14-33,0.424,8-11,0.727,14,26,40,34.4,7,17,12,3,5,72,75.1,mbball
165,Muhlenberg,,-,,654-1533,0.427,231-671,0.344,339-468,0.724,220,640,860,34.4,414,356,328,55,168,1878,75.1,mbball
166,Opponents,,-,,722-1530,0.472,198-554,0.357,300-431,0.696,231,722,953,38.1,441,387,365,64,170,1942,77.7,mbball
167,vs Moravian,11/15/16,85-79,W,22-46,0.478,3-8,0.375,38-49,0.776,4,33,37,37.0,21,12,22,4,9,85,85.0,mbball
168,vs Merchant Marine,11/18/16,69-47,W,24-44,0.545,10-19,0.526,11-17,0.647,4,18,22,29.5,15,18,17,5,13,69,77.0,mbball
169,vs Wilkes,11/19/16,80-70,W,24-49,0.49,5-14,0.357,27-38,0.711,10,21,31,30.0,12,17,12,3,15,80,78.0,mbball
170,at Dickinson,11/22/16,65-75,L,26-61,0.426,4-12,0.333,9-14,0.643,15,28,43,33.3,16,7,19,0,6,65,74.8,mbball
171,vs Swarthmore,12/01/16,49-81,L,19-53,0.358,5-16,0.313,6-10,0.6,8,13,21,30.8,17,11,18,2,15,49,69.6,mbball
172,vs Johns Hopkins,12/03/16,67-65,W,25-53,0.472,6-15,0.4,11-15,0.733,9,24,33,31.2,17,19,18,2,13,67,69.2,mbball
173,at Haverford,12/07/16,65-58,W,25-54,0.463,3-12,0.25,12-26,0.462,12,29,41,32.6,16,9,15,1,9,65,68.6,mbball
