,Date,Opponent,W/L,SP,K,E,TA,PCT,AST,SA,SE,RE,DIG,BS,BA,BE,TB,BHE,PTS,team_name
187,10/07/2016,vs Lynchburg,W,5,54,26,164,0.171,52,10,6,4,73,2,22,1,13.0,0,77.0,volleyball
188,10/08/2016,vs UC Santa Cruz,L,5,52,21,162,0.191,50,15,7,12,73,0,16,3,8.0,0,75.0,volleyball
189,10/08/2016,at La Verne,L,3,24,17,80,0.088,23,2,1,8,39,0,9,4,4.5,1,30.5,volleyball
190,10/12/2016,Haverford,L,4,49,19,152,0.197,47,7,8,12,72,1,10,0,6.0,2,62.0,volleyball
191,10/15/2016,Franklin & Marshall,W,4,47,19,157,0.178,46,3,6,5,86,2,14,0,9.0,1,59.0,volleyball
192,10/15/2016,UNION,W,3,41,8,106,0.311,39,6,9,2,53,3,4,1,5.0,0,52.0,volleyball
193,10/19/2016,at Swarthmore,L,3,28,13,105,0.143,27,1,6,10,69,1,6,0,4.0,6,33.0,volleyball
194,10/22/2016,at Gettysburg,W,3,38,18,100,0.2,36,6,3,4,49,2,4,1,4.0,0,48.0,volleyball
195,10/22/2016,vs Hood,W,3,33,19,105,0.133,33,5,7,3,55,2,12,0,8.0,2,46.0,volleyball
196,10/26/2016,Ursinus,W,3,40,13,95,0.284,37,7,5,3,51,1,20,1,11.0,0,58.0,volleyball
197,10/29/2016,Lycoming,W,4,62,21,130,0.315,57,14,9,5,44,0,10,0,5.0,0,81.0,volleyball
198,10/29/2016,at Eastern,L,3,29,16,119,0.109,25,0,6,2,39,3,4,1,5.0,1,34.0,volleyball
199,11/02/2016,Franklin & Marshall,W,3,48,13,118,0.297,44,6,6,2,58,2,8,1,6.0,3,60.0,volleyball
200,11/05/2016,at Johns Hopkins,L,4,29,25,125,0.032,27,2,4,9,60,2,6,3,5.0,0,36.0,volleyball
201,,Muhlenberg,,109,1283,547,3796,0.194,1200,224,234,166,1787,45,275,27,182.5,40,1689.5,volleyball
202,,Opponents,,109,1214,570,3838,0.168,1119,166,234,224,1697,49,174,27,136.0,36,1516.0,volleyball
203,9/01/2015,Eastern,L,4,45,24,142,0.148,44,3,8,7,56,2,12,1,8.0,0,56.0,volleyball
204,9/04/2015,vs Alvernia,W,3,29,12,62,0.274,28,14,6,2,25,0,10,2,5.0,2,48.0,volleyball
205,9/04/2015,vs Stevens Institute,L,5,56,19,161,0.23,54,8,11,0,65,1,16,5,9.0,5,73.0,volleyball
206,9/05/2015,vs Carroll,W,5,57,21,147,0.245,54,12,8,8,60,0,22,4,11.0,6,80.0,volleyball
207,9/05/2015,at Moravian,W,4,48,18,135,0.222,44,10,11,8,70,1,14,1,8.0,0,66.0,volleyball
208,9/11/2015,Moravian,W,3,42,16,94,0.277,41,5,9,3,51,0,15,0,7.5,0,54.5,volleyball
209,9/11/2015,Rowan,W,3,46,8,98,0.388,42,8,7,2,42,3,10,1,8.0,0,62.0,volleyball
210,9/12/2015,Salisbury,L,3,33,17,105,0.152,32,3,11,4,50,0,11,1,5.5,0,41.5,volleyball
211,9/12/2015,Neumann,W,3,52,10,114,0.368,50,3,4,6,72,1,8,0,5.0,0,60.0,volleyball
